Survived,PassengerClass,Sex,Age,SiblingsSpouses,ParentsChildren,TicketFare,Title,Deck,FamilySize,IsAlone,Port
0,3,male,25.0,0,0,8.05,Mr,Unknown,1,1,Southampton
1,1,female,23.0,3,2,263.0,Miss,C,6,0,Southampton
0,3,male,24.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,29.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,20.0,0,0,7.8542,Mr,Unknown,1,1,Southampton
0,1,male,46.0,1,0,61.175,Mr,E,2,0,Southampton
0,3,male,26.0,1,2,20.575,Mr,Unknown,4,0,Southampton
0,3,male,59.0,0,0,7.25,Mr,Unknown,1,1,Southampton
0,3,male,25.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,1,male,71.0,0,0,34.6542,Mr,A,1,1,Cherbourg
1,1,male,23.0,0,1,63.3583,Mr,D,2,0,Cherbourg
1,2,female,34.0,0,1,23.0,Mrs,Unknown,2,0,Southampton
0,2,male,34.0,1,0,26.0,Mr,Unknown,2,0,Southampton
0,3,female,28.0,0,0,7.8958,Miss,Unknown,1,1,Southampton
0,3,male,25.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
0,1,male,21.0,0,1,77.2875,Mr,D,2,0,Southampton
0,3,male,33.0,0,0,8.6542,Mr,Unknown,1,1,Southampton
0,3,male,37.0,2,0,7.925,Mr,Unknown,3,0,Southampton
0,3,male,28.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
1,3,female,21.0,0,0,7.65,Miss,Unknown,1,1,Southampton
1,3,male,25.0,0,0,7.775,Mr,Unknown,1,1,Southampton
0,3,male,38.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
1,3,female,21.5,1,0,24.15,Miss,Unknown,2,0,Queenstown
0,1,male,47.0,0,0,52.0,Mr,C,1,1,Southampton
0,3,female,14.5,1,0,14.4542,Miss,Unknown,2,0,Cherbourg
0,3,male,22.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,female,20.0,1,0,9.825,Miss,Unknown,2,0,Southampton
0,3,female,17.0,0,0,14.4583,Miss,Unknown,1,1,Cherbourg
0,3,male,21.0,0,0,7.925,Mr,Unknown,1,1,Southampton
0,3,male,70.5,0,0,7.75,Mr,Unknown,1,1,Queenstown
0,2,male,29.0,1,0,21.0,Mr,Unknown,2,0,Southampton
0,1,male,24.0,0,1,247.5208,Mr,B,2,0,Cherbourg
0,3,female,2.0,4,2,31.275,Miss,Unknown,7,0,Southampton
0,2,male,21.0,2,0,73.5,Mr,Unknown,3,0,Southampton
0,3,male,25.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,2,male,32.5,1,0,30.0708,Mr,Unknown,2,0,Cherbourg
1,2,female,32.5,0,0,13.0,Miss,E,1,1,Southampton
0,1,male,54.0,0,1,77.2875,Mr,D,2,0,Southampton
1,3,male,12.0,1,0,11.2417,Master,Unknown,2,0,Cherbourg
0,3,male,25.0,0,0,7.75,Mr,Unknown,1,1,Queenstown
1,3,male,24.0,0,0,7.1417,Mr,Unknown,1,1,Southampton
1,3,female,21.5,1,1,22.3583,Miss,F,3,0,Cherbourg
0,3,male,45.0,0,0,6.975,Mr,Unknown,1,1,Southampton
0,3,male,33.0,0,0,7.8958,Mr,Unknown,1,1,Cherbourg
0,3,male,20.0,0,0,7.05,Mr,Unknown,1,1,Southampton
0,3,female,47.0,1,0,14.5,Mrs,Unknown,2,0,Southampton
1,2,female,29.0,1,0,26.0,Mrs,Unknown,2,0,Southampton
0,2,male,25.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,2,male,23.0,0,0,15.0458,Mr,Unknown,1,1,Cherbourg
1,1,female,19.0,0,2,26.2833,Miss,D,3,0,Southampton
0,1,male,37.0,1,0,53.1,Mr,C,2,0,Southampton
0,3,male,16.0,0,0,9.2167,Mr,Unknown,1,1,Southampton
0,1,male,24.0,0,0,79.2,Mr,B,1,1,Cherbourg
0,3,female,21.5,0,2,15.2458,Mrs,Unknown,3,0,Cherbourg
1,3,female,22.0,0,0,7.75,Miss,Unknown,1,1,Southampton
1,3,female,24.0,1,0,15.85,Mrs,Unknown,2,0,Southampton
0,3,male,19.0,0,0,6.75,Mr,Unknown,1,1,Queenstown
0,2,male,18.0,0,0,11.5,Mr,Unknown,1,1,Southampton
0,2,male,19.0,1,1,36.75,Mr,Unknown,3,0,Southampton
1,3,male,27.0,0,0,7.7958,Mr,Unknown,1,1,Southampton
0,3,female,9.0,2,2,34.375,Miss,Unknown,5,0,Southampton
0,2,male,36.5,0,2,26.0,Mr,F,3,0,Southampton
0,2,male,42.0,0,0,13.0,Other,Unknown,1,1,Southampton
0,2,male,51.0,0,0,12.525,Other,Unknown,1,1,Southampton
1,1,female,22.0,1,0,66.6,Mrs,C,2,0,Southampton
0,3,male,55.5,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,40.5,0,2,14.5,Mr,Unknown,3,0,Southampton
0,3,male,25.0,0,0,7.3125,Mr,Unknown,1,1,Southampton
0,1,male,51.0,0,1,61.3792,Mr,Unknown,2,0,Cherbourg
1,3,female,16.0,0,0,7.7333,Miss,Unknown,1,1,Queenstown
0,3,male,30.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,25.0,0,0,8.6625,Mr,Unknown,1,1,Southampton
0,3,male,25.0,8,2,69.55,Master,Unknown,11,0,Southampton
0,3,male,44.0,0,1,16.1,Mr,Unknown,2,0,Southampton
1,2,female,40.0,0,0,15.75,Mrs,Unknown,1,1,Southampton
0,3,male,26.0,0,0,7.775,Mr,Unknown,1,1,Southampton
0,3,male,17.0,0,0,8.6625,Mr,Unknown,1,1,Southampton
0,3,male,1.0,4,1,39.6875,Master,Unknown,6,0,Southampton
1,3,male,9.0,0,2,20.525,Master,Unknown,3,0,Southampton
1,1,female,35.0,0,1,55.0,Mrs,E,2,0,Southampton
0,3,female,45.0,1,4,27.9,Mrs,Unknown,6,0,Southampton
0,1,male,40.0,0,0,25.925,Mr,Unknown,1,1,Southampton
0,3,male,28.0,0,0,56.4958,Mr,Unknown,1,1,Southampton
0,1,male,61.0,0,0,33.5,Mr,B,1,1,Southampton
0,3,male,4.0,4,1,29.125,Master,Unknown,6,0,Queenstown
1,3,female,1.0,1,1,11.1333,Miss,Unknown,3,0,Southampton
0,3,male,21.0,0,0,7.925,Mr,Unknown,1,1,Southampton
0,1,male,56.0,0,0,30.6958,Mr,A,1,1,Cherbourg
0,3,male,18.0,1,1,7.8542,Mr,Unknown,3,0,Southampton
0,3,male,25.0,3,1,25.4667,Master,Unknown,5,0,Southampton
0,1,female,50.0,0,0,28.7125,Miss,C,1,1,Cherbourg
0,2,male,30.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,3,male,36.0,0,0,0.0,Mr,Unknown,1,1,Southampton
0,3,female,21.5,8,2,69.55,Miss,Unknown,11,0,Southampton
0,2,male,30.0,0,0,15.05,Mr,Unknown,1,1,Cherbourg
0,3,male,9.0,4,2,31.3875,Master,Unknown,7,0,Southampton
1,2,male,1.0,2,1,39.0,Master,F,4,0,Southampton
1,3,female,4.0,0,2,22.025,Miss,Unknown,3,0,Southampton
0,1,male,40.0,0,0,50.0,Mr,A,1,1,Southampton
1,3,female,21.5,1,0,15.5,Mrs,Unknown,2,0,Queenstown
1,1,male,45.0,0,0,26.55,Mr,Unknown,1,1,Southampton
0,3,male,40.0,1,1,15.5,Mr,Unknown,3,0,Queenstown
0,3,male,36.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
1,2,female,32.0,0,0,13.0,Mrs,Unknown,1,1,Southampton
0,2,male,19.0,0,0,13.0,Mr,Unknown,1,1,Southampton
1,3,female,19.0,1,0,7.8542,Miss,Unknown,2,0,Southampton
1,2,male,3.0,1,1,26.0,Master,F,3,0,Southampton
1,1,female,44.0,0,0,27.7208,Mrs,B,1,1,Cherbourg
1,1,female,58.0,0,0,146.5208,Miss,B,1,1,Cherbourg
0,3,male,25.0,0,0,7.75,Mr,Unknown,1,1,Queenstown
0,3,male,42.0,0,1,8.4042,Mr,Unknown,2,0,Southampton
1,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
0,2,female,24.0,0,0,13.0,Miss,Unknown,1,1,Southampton
0,3,male,28.0,0,0,9.5,Mr,Unknown,1,1,Southampton
0,3,male,25.0,8,2,69.55,Mr,Unknown,11,0,Southampton
0,3,male,34.0,0,0,6.4958,Mr,Unknown,1,1,Southampton
0,3,male,45.5,0,0,7.225,Mr,Unknown,1,1,Cherbourg
1,3,male,18.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,female,2.0,0,1,10.4625,Miss,G,2,0,Southampton
0,3,male,32.0,1,0,15.85,Mr,Unknown,2,0,Southampton
1,3,male,26.0,0,0,18.7875,Mr,Unknown,1,1,Cherbourg
1,3,female,16.0,0,0,7.75,Miss,Unknown,1,1,Queenstown
1,1,male,40.0,0,0,31.0,Mr,A,1,1,Cherbourg
0,3,male,24.0,0,0,7.05,Mr,Unknown,1,1,Southampton
1,2,female,35.0,0,0,21.0,Miss,Unknown,1,1,Southampton
0,3,male,22.0,0,0,7.25,Mr,Unknown,1,1,Southampton
0,2,male,30.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,3,male,25.0,1,0,7.75,Mr,Unknown,2,0,Queenstown
1,1,female,31.0,1,0,113.275,Miss,D,2,0,Cherbourg
1,3,female,27.0,0,0,7.925,Miss,Unknown,1,1,Southampton
0,2,male,42.0,1,0,27.0,Mr,Unknown,2,0,Southampton
1,1,female,32.0,0,0,76.2917,Miss,D,1,1,Cherbourg
0,2,male,30.0,0,0,10.5,Mr,Unknown,1,1,Southampton
1,3,male,16.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,2,male,27.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,3,male,51.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,3,male,25.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
1,1,male,38.0,1,0,90.0,Mr,C,2,0,Southampton
0,3,male,22.0,0,0,9.35,Mr,Unknown,1,1,Southampton
1,2,male,19.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,3,male,20.5,0,0,7.25,Mr,Unknown,1,1,Southampton
0,2,male,18.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,3,female,21.5,3,1,25.4667,Miss,Unknown,5,0,Southampton
1,1,female,35.0,1,0,83.475,Mrs,C,2,0,Southampton
0,3,male,29.0,0,0,7.775,Mr,Unknown,1,1,Southampton
0,2,male,59.0,0,0,13.5,Mr,Unknown,1,1,Southampton
1,3,female,5.0,4,2,31.3875,Miss,Unknown,7,0,Southampton
0,2,male,24.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,3,female,21.5,0,0,7.55,Miss,Unknown,1,1,Southampton
0,2,male,44.0,1,0,26.0,Mr,Unknown,2,0,Southampton
1,2,female,8.0,0,2,26.25,Miss,Unknown,3,0,Southampton
0,2,male,19.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,2,male,33.0,0,0,12.275,Mr,Unknown,1,1,Southampton
0,3,female,21.5,1,0,14.4542,Miss,Unknown,2,0,Cherbourg
1,3,female,21.5,1,0,15.5,Miss,Unknown,2,0,Queenstown
0,2,male,29.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,3,male,22.0,0,0,7.125,Mr,Unknown,1,1,Southampton
0,3,male,30.0,0,0,7.225,Mr,Unknown,1,1,Cherbourg
0,1,male,44.0,2,0,90.0,Dr,C,3,0,Queenstown
0,3,female,25.0,0,0,7.775,Miss,Unknown,1,1,Southampton
1,2,female,24.0,0,2,14.5,Mrs,Unknown,3,0,Southampton
1,1,male,37.0,1,1,52.5542,Mr,D,3,0,Southampton
0,2,male,54.0,1,0,26.0,Other,Unknown,2,0,Southampton
0,3,male,25.0,0,0,7.25,Mr,Unknown,1,1,Southampton
0,3,female,29.0,1,1,10.4625,Mrs,G,3,0,Southampton
0,1,male,62.0,0,0,26.55,Mr,C,1,1,Southampton
0,3,male,30.0,1,0,16.1,Mr,Unknown,2,0,Southampton
0,3,female,41.0,0,2,20.2125,Mrs,Unknown,3,0,Southampton
1,3,female,29.0,0,2,15.2458,Mrs,Unknown,3,0,Cherbourg
1,1,female,35.0,0,0,79.2,Mrs,Unknown,1,1,Cherbourg
1,1,female,30.0,0,0,86.5,Miss,B,1,1,Southampton
1,1,female,35.0,0,0,512.3292,Miss,Unknown,1,1,Cherbourg
1,2,female,50.0,0,1,26.0,Mrs,Unknown,2,0,Southampton
0,3,male,25.0,0,0,7.75,Mr,Unknown,1,1,Queenstown
1,3,male,3.0,4,2,31.3875,Master,Unknown,7,0,Southampton
0,1,male,52.0,1,1,79.65,Mr,E,3,0,Southampton
0,1,male,40.0,0,0,0.0,Mr,B,1,1,Southampton
0,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
0,2,male,36.0,0,0,10.5,Mr,Unknown,1,1,Southampton
0,3,male,16.0,4,1,39.6875,Mr,Unknown,6,0,Southampton
1,3,male,25.0,1,0,7.775,Mr,Unknown,2,0,Southampton
1,1,female,58.0,0,1,153.4625,Mrs,C,2,0,Southampton
1,1,female,35.0,0,0,135.6333,Miss,C,1,1,Southampton
0,1,male,40.0,0,0,31.0,Mr,Unknown,1,1,Southampton
1,3,male,25.0,0,0,0.0,Mr,Unknown,1,1,Southampton
1,2,female,41.0,0,1,19.5,Mrs,Unknown,2,0,Southampton
0,1,male,37.0,0,1,29.7,Mr,C,2,0,Cherbourg
1,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
1,1,female,63.0,1,0,77.9583,Miss,D,2,0,Southampton
0,3,female,45.0,0,0,7.75,Miss,Unknown,1,1,Southampton
0,2,male,30.0,0,0,0.0,Mr,Unknown,1,1,Southampton
0,3,male,7.0,4,1,29.125,Master,Unknown,6,0,Queenstown
1,3,female,35.0,1,1,20.25,Mrs,Unknown,3,0,Southampton
0,3,male,65.0,0,0,7.75,Mr,Unknown,1,1,Queenstown
0,3,male,28.0,0,0,7.8542,Mr,Unknown,1,1,Southampton
0,3,male,16.0,0,0,9.5,Mr,Unknown,1,1,Southampton
1,3,male,19.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,1,male,40.0,0,0,26.0,Mr,A,1,1,Southampton
0,3,male,33.0,0,0,8.6625,Mr,Unknown,1,1,Cherbourg
1,3,male,30.0,0,0,9.5,Mr,Unknown,1,1,Southampton
0,3,male,22.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
1,2,male,42.0,0,0,13.0,Mr,Unknown,1,1,Southampton
1,3,female,22.0,0,0,7.75,Miss,Unknown,1,1,Queenstown
1,1,female,26.0,0,0,78.85,Miss,Unknown,1,1,Southampton
1,1,female,19.0,1,0,91.0792,Mrs,B,2,0,Cherbourg
0,2,male,36.0,0,0,12.875,Mr,D,1,1,Cherbourg
0,3,female,24.0,0,0,8.85,Miss,Unknown,1,1,Southampton
0,3,male,24.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
0,1,male,40.0,0,0,27.7208,Mr,Unknown,1,1,Cherbourg
0,3,male,23.5,0,0,7.2292,Mr,Unknown,1,1,Cherbourg
0,1,female,2.0,1,2,151.55,Miss,C,4,0,Southampton
1,1,male,40.0,0,0,30.5,Mr,C,1,1,Southampton
1,1,female,50.0,0,1,247.5208,Mrs,B,2,0,Cherbourg
1,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
1,3,male,25.0,2,0,23.25,Mr,Unknown,3,0,Queenstown
0,3,male,19.0,0,0,0.0,Mr,Unknown,1,1,Southampton
1,2,female,28.0,0,0,12.35,Miss,E,1,1,Queenstown
0,3,male,25.0,0,0,8.05,Mr,Unknown,1,1,Southampton
1,1,male,0.92,1,2,151.55,Master,C,4,0,Southampton
1,1,female,35.0,0,0,110.8833,Miss,Unknown,1,1,Cherbourg
1,1,female,17.0,1,0,108.9,Mrs,C,2,0,Cherbourg
0,2,male,30.0,1,0,24.0,Mr,Unknown,2,0,Cherbourg
1,1,female,30.0,0,0,56.9292,Miss,E,1,1,Cherbourg
1,1,female,24.0,0,0,83.1583,Miss,C,1,1,Cherbourg
1,1,female,18.0,2,2,262.375,Miss,B,5,0,Cherbourg
0,2,female,26.0,1,1,26.0,Mrs,Unknown,3,0,Southampton
0,3,male,28.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
0,2,male,43.0,1,1,26.25,Mr,Unknown,3,0,Southampton
1,3,female,26.0,0,0,7.8542,Miss,Unknown,1,1,Southampton
1,2,female,24.0,1,0,26.0,Mrs,Unknown,2,0,Southampton
0,2,male,54.0,0,0,14.0,Dr,Unknown,1,1,Southampton
1,1,female,31.0,0,2,164.8667,Miss,C,3,0,Southampton
1,1,female,40.0,1,1,134.5,Mrs,E,3,0,Cherbourg
0,3,male,22.0,0,0,7.25,Mr,Unknown,1,1,Southampton
0,3,male,27.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
1,2,female,30.0,0,0,12.35,Miss,Unknown,1,1,Queenstown
1,2,female,22.0,1,1,29.0,Mrs,Unknown,3,0,Southampton
0,3,male,25.0,8,2,69.55,Mr,Unknown,11,0,Southampton
1,1,female,36.0,0,0,135.6333,Miss,C,1,1,Cherbourg
0,3,male,61.0,0,0,6.2375,Mr,Unknown,1,1,Southampton
1,2,female,36.0,0,0,13.0,Mrs,D,1,1,Southampton
1,3,female,31.0,1,1,20.525,Mrs,Unknown,3,0,Southampton
1,1,female,16.0,0,1,57.9792,Miss,B,2,0,Cherbourg
1,3,female,21.5,2,0,23.25,Miss,Unknown,3,0,Queenstown
0,1,male,45.5,0,0,28.5,Mr,C,1,1,Southampton
0,1,male,38.0,0,1,153.4625,Mr,C,2,0,Southampton
0,3,male,16.0,2,0,18.0,Mr,Unknown,3,0,Southampton
1,1,female,35.0,1,0,133.65,Mrs,Unknown,2,0,Southampton
0,3,male,25.0,0,0,7.8958,Mr,Unknown,1,1,Southampton
0,1,male,29.0,1,0,66.6,Mr,C,2,0,Southampton
1,1,female,41.0,0,0,134.5,Miss,E,1,1,Cherbourg
1,3,male,45.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,1,male,45.0,0,0,35.5,Mr,T,1,1,Southampton
1,2,male,2.0,1,1,26.0,Master,F,3,0,Southampton
1,1,female,24.0,3,2,263.0,Miss,C,6,0,Southampton
0,2,male,28.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,2,male,25.0,0,0,13.0,Mr,Unknown,1,1,Southampton
0,2,male,36.0,0,0,13.0,Mr,Unknown,1,1,Southampton
1,2,female,24.0,0,0,13.0,Miss,F,1,1,Southampton
1,2,female,40.0,0,0,13.0,Miss,Unknown,1,1,Southampton
1,3,female,21.5,1,0,16.1,Mrs,Unknown,2,0,Southampton
1,3,male,3.0,1,1,15.9,Master,Unknown,3,0,Southampton
0,3,male,42.0,0,0,8.6625,Mr,Unknown,1,1,Southampton
0,3,male,23.0,0,0,9.225,Mr,Unknown,1,1,Southampton
0,1,male,40.0,0,0,35.0,Mr,C,1,1,Southampton
0,3,male,15.0,1,1,7.2292,Mr,Unknown,3,0,Cherbourg
0,3,male,25.0,1,0,17.8,Mr,Unknown,2,0,Southampton
0,3,male,25.0,0,0,7.225,Mr,Unknown,1,1,Cherbourg
0,3,male,28.0,0,0,9.5,Mr,Unknown,1,1,Southampton
1,1,female,22.0,0,1,55.0,Miss,E,2,0,Southampton
0,2,female,38.0,0,0,13.0,Miss,Unknown,1,1,Southampton
1,3,female,21.5,0,0,7.8792,Miss,Unknown,1,1,Queenstown
1,3,female,21.5,0,0,7.8792,Miss,Unknown,1,1,Queenstown
0,3,male,40.0,1,4,27.9,Mr,Unknown,6,0,Southampton
0,2,male,29.0,1,0,27.7208,Mr,Unknown,2,0,Cherbourg
0,3,female,45.0,0,1,14.4542,Mrs,Unknown,2,0,Cherbourg
0,3,male,35.0,0,0,7.05,Mr,Unknown,1,1,Southampton
0,3,male,25.0,1,0,15.5,Mr,Unknown,2,0,Queenstown
0,3,male,30.0,0,0,7.25,Mr,Unknown,1,1,Southampton
1,1,female,60.0,1,0,75.25,Mrs,D,2,0,Cherbourg
1,3,female,21.5,0,0,7.2292,Mrs,Unknown,1,1,Cherbourg
1,3,female,21.5,0,0,7.75,Miss,Unknown,1,1,Queenstown
1,1,female,24.0,0,0,69.3,Mrs,B,1,1,Cherbourg
1,1,male,25.0,1,0,55.4417,Mr,E,2,0,Cherbourg
0,3,male,18.0,1,0,6.4958,Mr,Unknown,2,0,Southampton
0,3,male,19.0,0,0,8.05,Mr,Unknown,1,1,Southampton
0,1,male,22.0,0,0,135.6333,Mr,Unknown,1,1,Cherbourg
0,3,female,3.0,3,1,21.075,Miss,Unknown,5,0,Southampton
1,1,female,35.0,1,0,82.1708,Mrs,Unknown,2,0,Cherbourg
1,3,female,22.0,0,0,7.25,Miss,Unknown,1,1,Southampton
0,1,male,27.0,0,2,211.5,Mr,C,3,0,Cherbourg
0,3,male,20.0,0,0,4.0125,Mr,Unknown,1,1,Cherbourg
0,3,male,19.0,0,0,7.775,Mr,Unknown,1,1,Southampton
1,1,female,42.0,0,0,227.525,Miss,Unknown,1,1,Cherbourg
1,3,female,1.0,0,2,15.7417,Miss,Unknown,3,0,Cherbourg
0,3,male,32.0,0,0,7.925,Mr,Unknown,1,1,Southampton
